"5249132","23002/00","РК","Рабочий","Сарыаркинский, Улица Сакена Сейфуллина, 7","71.4036876","51.1688926","10","58.000 м","Внутреннее Этаж2","5224062","РШ 23002","Рабочий","Сарыаркинский, Улица Сакена Сейфуллина, 7","71.4036876","51.1688926"
"5935423","3832/74","РК","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.4090643","51.1799632","10","104.859 м","Внутреннее Этаж2","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5935473","3832/73","РК","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.4090643","51.1799632","10","81.859 м","Внутреннее Этаж2","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5935523","3832/72","РК","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.4090643","51.1799632","10","61.859 м","Внутреннее Этаж2","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5935573","3832/71","РК","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.4090643","51.1799632","10","41.859 м","Внутреннее Этаж2","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5935623","3832/29","РК","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.4090643","51.1799632","10","125.859 м","Внутреннее Этаж4","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5935673","3832/28","РК","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.4090643","51.1799632","10","99.859 м","Внутреннее Этаж4","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5935723","3832/27","РК","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.4090643","51.1799632","10","73.859 м","Внутреннее Этаж4","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5935773","3832/26","РК","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.4090643","51.1799632","10","47.859 м","Внутреннее Этаж4","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5935878","3832/15","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/2","71.409236","51.1792383","10","122.558 м","Внутреннее Этаж2","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5935928","3832/16","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/2","71.409236","51.1792383","10","142.558 м","Внутреннее Этаж2","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5935978","3832/17","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/2","71.409236","51.1792383","10","162.558 м","Внутреннее Этаж2","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5936028","3832/19","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/2","71.409236","51.1792383","10","163.558 м","Внутреннее Этаж2","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5936184","3832/18","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/2","71.409236","51.1792383","10","163.558 м","Внутреннее Этаж2","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5936234","3832/21","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/2","71.409236","51.1792383","10","116.905 м","Внутреннее Этаж4","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
"5936284","3832/22","РК","Рабочий","Сарыаркинский, Проспект Женис, 45/2","71.409236","51.1792383","10","142.905 м","Внутреннее Этаж4","4593352","РШ 3832","Рабочий","Сарыаркинский, Проспект Женис, 49/1","71.409042","51.1799735"
