source_file,id,name,locality,region,location,area,district,street,house,network_type,building_type,purpose,residential_complex,res_completed,houses_count,apartments_count,floors_count,porch_count,cluster_id
cluster_Астана-ШР-9.xml,10ce3d90-79a8-ac3c-4273-3e0914e54210,Строящееся здание,Астана,Астана город республиканского значения,POINT (71.341859 51.201838),"POLYGON((71.341807 51.201818,71.341891 51.201805,71.341911 51.201858,71.341828 51.201871,71.341807 51.201818))",,,,ГТС,OTHER,Строящееся здание,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,4c62fc06-59d5-28eb-dbbe-0ab05b707c78,"улица Акмола, 52",Астана,Астана город республиканского значения,POINT (71.328572 51.196046),"POLYGON((71.328613 51.195987,71.328665 51.196071,71.328531 51.196104,71.32848 51.19602,71.328613 51.195987))",Коктал-2 м-н,улица Акмола,52,ГТС,IZHS,Частный дом,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,d98348e0-28b2-ac05-3860-bb4d03ab19b3,"переулок Жалаулы, 8",Астана,Астана город республиканского значения,POINT (71.367693 51.202216),"POLYGON((71.367597 51.202196,71.367725 51.202156,71.367789 51.202236,71.367662 51.202277,71.367597 51.202196))",,переулок Жалаулы,8,ГТС,IZHS,Частный дом,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,70260c1a-10f2-4700-997d-3115a05a8d69,"улица Мыржакыпа Дулатова, 199",Астана,Астана город республиканского значения,POINT (71.354495 51.208759),"POLYGON((71.354539 51.208847,71.354602 51.208884,71.354749 51.208786,71.354686 51.208749,71.354765 51.208696,71.354843 51.208644,71.354656 51.208533,71.354577 51.208585,71.354224 51.208821,71.354412 51.208932,71.354441 51.208912,71.354539 51.208847))",,улица Мыржакыпа Дулатова,199,ГТС,INDUSTRY,Производственный корпус,,True,1.0,,2.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,cf12192d-6fd8-8c37-b13b-cf25291cf966,Хозяйственный корпус,Астана,Астана город республиканского значения,POINT (71.345295 51.208334),"POLYGON((71.34535 51.208332,71.345287 51.208368,71.345239 51.208335,71.345302 51.208299,71.34535 51.208332))",,,,ГТС,INDUSTRY,Хозяйственный корпус,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,c6c1ed3d-756d-5d6b-3cfc-6cfde6a9453f,"улица Саумалколь, 4",Астана,Астана город республиканского значения,POINT (71.326425 51.199908),"POLYGON((71.326332 51.199882,71.326466 51.19985,71.326517 51.199934,71.326384 51.199966,71.326332 51.199882))",Коктал-2 м-н,улица Саумалколь,4,ГТС,IZHS,Коттедж,,True,1.0,,2.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,2038607c-b8a1-3893-b753-c2a40c28348a,"улица Акмола, 56/1а",Астана,Астана город республиканского значения,POINT (71.327826 51.196319),"MULTIPOLYGON(((71.32771 51.196318,71.327742 51.196368,71.327942 51.196319,71.32791 51.196269,71.32771 51.196318)),((71.327699 51.19621,71.327646 51.196224,71.327699 51.196307,71.327752 51.196294,71.327699 51.19621)))",Коктал-2 м-н,улица Акмола,56/1а,ГТС,ADMINISTRATIVE,Административное здание,,True,1.0,,2.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,67d7229c-168c-eff8-5ae2-269ebf42fac9,Хозяйственный корпус,Астана,Астана город республиканского значения,POINT (71.346027 51.195512),"POLYGON((71.345979 51.195462,71.346049 51.195456,71.346075 51.195562,71.346004 51.195569,71.345979 51.195462))",,,,ГТС,INDUSTRY,Хозяйственный корпус,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,1af176ec-6bc3-2ab4-2a84-c4e003d603ec,"улица Кайнар, 10",Астана,Астана город республиканского значения,POINT (71.334622 51.195551),"POLYGON((71.334592 51.19563,71.334519 51.195503,71.334653 51.195473,71.334726 51.1956,71.334592 51.19563))",Коктал-2 м-н,улица Кайнар,10,ГТС,IZHS,Частный дом,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,09866342-31d2-7464-8a88-3f956332069e,"улица Мыржакыпа Дулатова, 183/1",Астана,Астана город республиканского значения,POINT (71.35661 51.203944),"POLYGON((71.356553 51.203698,71.356214 51.203942,71.356666 51.20419,71.356795 51.204261,71.357135 51.204018,71.357006 51.203947,71.356553 51.203698))",,улица Мыржакыпа Дулатова,183/1,ГТС,ADMINISTRATIVE,Административное здание,,True,1.0,,2.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
